0 length 1769;
0 note 84 100;
0 note 0 0;
0 note 62 100;
59 note 84 0;
59 note 62 0;
89 note 0 0;
89 note 72 100;
89 note 0 0;
89 note 74 100;
149 note 72 0;
149 note 74 0;
179 note 0 0;
179 note 60 100;
179 note 0 0;
179 note 50 100;
239 note 60 0;
239 note 50 0;
269 note 0 0;
269 note 48 100;
269 note 0 0;
269 note 74 100;
329 note 48 0;
329 note 74 0;
359 note 0 0;
359 note 84 100;
359 note 0 0;
359 note 86 100;
419 note 84 0;
419 note 86 0;
449 note 0 0;
449 note 72 100;
449 note 0 0;
449 note 62 100;
509 note 72 0;
509 note 62 0;
809 note 0 0;
809 note 75 100;
869 note 75 0;
989 note 0 0;
989 note 51 100;
1049 note 51 0;
1079 note 0 0;
1079 note 87 100;
1139 note 87 0;
1259 note 0 0;
1259 note 63 100;
1319 note 63 0;
